sample_id,material_grade,temperature_c,pressure_mpa,feed_rate_mm_s,tensile_strength_mpa,defective
S001,Polymer A,185,2.55,21,32.2,True
S002,Polymer A,192,2.75,19,36.9,False
S003,Polymer A,198,2.9,17,43.4,False
S004,Polymer A,203,3.05,15,45.5,False
S005,Polymer A,208,3.2,20,47.6,False
S006,Polymer A,214,3.35,25,44.6,False
S007,Polymer A,219,3.55,18,47.4,False
S008,Polymer A,224,2.65,22,39.5,False
S009,Polymer A,230,3.1,26,37,False
S010,Polymer A,236,3.7,23,31.7,True
S011,Polymer B,203,3.05,15,41.9,True
S012,Polymer B,210,3.2,20,48.8,False
S013,Polymer B,215,3.35,25,48.7,False
S014,Polymer B,220,3.55,18,54.7,False
S015,Polymer B,225,2.65,22,49.8,False
S016,Polymer B,230,3.1,26,51.3,False
S017,Polymer B,236,3.7,23,49.9,False
S018,Polymer B,241,2.55,21,46.3,False
S019,Polymer B,246,2.75,19,40.3,True
S020,Polymer B,252,2.9,17,36.5,True
S021,Polymer C,176,3.55,18,30.5,True
S022,Polymer C,183,2.65,22,31.4,False
S023,Polymer C,189,3.1,26,37.2,False
S024,Polymer C,194,3.7,23,39.8,False
S025,Polymer C,199,2.55,21,39.9,False
S026,Polymer C,206,2.75,19,37.2,False
S027,Polymer C,212,2.9,17,37.4,False
S028,Polymer C,217,3.05,15,34.2,False
S029,Polymer C,223,3.2,20,30.1,True
S030,Polymer C,228,3.35,25,21.7,True
